load ./log/checkpoint_epoch100.pth
================================================================================
Epoch [101/300]
Test time : 69.6158230304718 s
i,	,y,	p
0 1.0 0.32379362
1 1.0 0.9144103
2 1.0 0.3571751
3 1.0 0.38772455
4 1.0 1.0204548
5 1.0 0.5960123
6 1.0 0.8427798
7 1.0 0.610448
8 1.0 0.21367165
9 1.0 0.5682299
10 1.0 0.40162858
11 1.0 0.8273799
12 1.0 0.18765523
13 1.0 0.16495639
14 1.0 0.13433868
15 1.0 0.29853666
16 1.0 0.40018144
17 1.0 0.56302875
18 1.0 1.3911879
19 1.0 0.4795511
20 1.0 0.6065969
21 1.0 0.18133238
22 1.0 0.8437933
23 1.0 0.17585285
24 1.0 0.33022746
25 1.0 0.574017
26 1.0 0.28315976
27 1.0 0.4638984
28 1.0 0.5030695
29 1.0 1.220038
30 1.0 0.5069273
31 1.0 0.5196089
32 1.0 0.27826616
33 1.0 0.40060762
34 1.0 0.6007134
35 1.0 0.28644142
36 1.0 0.6442673
37 1.0 0.33766806
38 1.0 0.96870553
39 1.0 0.6581237
40 1.0 0.37868166
41 1.0 0.77386624
42 1.0 0.5654564
43 1.0 0.43754175
44 1.0 0.21532728
45 1.0 0.406639
46 1.0 1.0142224
47 1.0 0.63603175
48 1.0 0.3888724
49 1.0 0.9585822
50 1.0 0.5232241
51 1.0 0.17712821
52 1.0 0.778684
53 1.0 0.50517714
54 1.0 0.75413597
55 1.0 0.28747672
56 1.0 0.2733791
57 1.0 0.40117583
58 1.0 0.22128431
59 1.0 0.43395996
60 1.0 0.40359014
61 1.0 0.28932145
62 1.0 0.23728183
63 1.0 0.37666252
64 0.0 1.1158872
65 0.0 1.2864474
66 0.0 0.6461751
67 0.0 0.52071327
68 0.0 1.3860695
69 0.0 0.9351505
70 0.0 0.79537565
71 0.0 1.3681651
72 0.0 1.229669
73 0.0 0.5226939
74 0.0 1.175971
75 0.0 1.004979
76 0.0 0.8422647
77 0.0 1.1673061
78 0.0 1.1015025
79 0.0 0.81272465
80 0.0 0.9034526
81 0.0 1.0370188
82 0.0 0.9279087
83 0.0 0.18937849
84 0.0 0.564774
85 0.0 0.70332503
86 0.0 1.5186652
87 0.0 1.1121722
88 0.0 0.905576
89 0.0 0.64027965
90 0.0 1.4992692
91 0.0 0.43971342
92 0.0 0.7368223
93 0.0 1.1225096
94 0.0 0.65685743
95 0.0 0.8221218
96 0.0 1.2163393
97 0.0 1.1140101
98 0.0 0.6865765
99 0.0 1.2984778
100 0.0 1.3462621
101 0.0 0.68179286
102 0.0 0.6352444
103 0.0 0.6800861
104 0.0 0.94611853
105 0.0 1.4830242
106 0.0 0.57376397
107 0.0 1.1466368
108 0.0 0.55645996
109 0.0 0.79821646
110 0.0 0.92671424
111 0.0 0.89571285
112 0.0 0.9390565
113 0.0 1.1310617
114 0.0 1.3858942
115 0.0 1.1459091
116 0.0 1.1593301
117 0.0 0.5488544
118 0.0 0.49715394
119 0.0 0.27013367
120 0.0 0.7407451
121 0.0 0.46887526
122 0.0 0.6342677
123 0.0 1.003516
124 0.0 0.47848764
125 0.0 1.012044
126 0.0 0.53152734
127 0.0 0.44819665
128 1.0 0.5692964
129 1.0 0.48534507
130 1.0 0.43378732
131 1.0 0.28259066
132 1.0 0.4700977
133 1.0 0.5789651
134 1.0 0.43015322
135 1.0 0.25396436
136 1.0 0.4884402
137 1.0 1.192959
138 1.0 1.0733637
139 1.0 0.22777644
140 1.0 1.1259117
141 1.0 1.0940895
142 1.0 0.16495639
143 1.0 0.32475692
144 1.0 0.34274322
145 1.0 0.77421314
146 1.0 0.38798556
147 1.0 0.86012423
148 1.0 0.55465037
149 1.0 0.70318437
150 1.0 0.2019252
151 1.0 0.82101744
152 1.0 0.81159383
153 1.0 0.8315457
154 1.0 0.77730554
155 1.0 0.6295297
156 1.0 0.81159383
157 1.0 0.47780854
158 1.0 0.67187047
159 1.0 0.22128542
160 1.0 1.1369934
161 1.0 0.32970977
162 1.0 0.23857877
163 1.0 0.4891474
164 1.0 0.715279
165 1.0 0.5005974
166 1.0 0.41290563
167 1.0 0.38605407
168 1.0 0.63793254
169 1.0 0.6981614
170 1.0 0.7819612
171 1.0 0.43763563
172 1.0 0.42729807
173 1.0 0.639639
174 1.0 0.89746785
175 1.0 0.82133466
176 1.0 0.25068602
177 1.0 0.5709401
178 1.0 0.5572398
179 1.0 0.65822726
180 1.0 0.4016239
181 1.0 0.17689286
182 1.0 0.6136548
183 1.0 0.24335717
184 1.0 0.93474543
185 1.0 0.65026844
186 1.0 0.6107469
187 1.0 0.7461684
188 1.0 0.65387505
189 1.0 0.3088551
190 1.0 0.33408585
191 1.0 0.48184225
192 0.0 0.54076076
193 0.0 1.1767564
194 0.0 0.6666632
195 0.0 0.7096806
196 0.0 1.385943
197 0.0 0.5643644
198 0.0 0.81318355
199 0.0 1.1051525
200 0.0 0.7621939
201 0.0 0.24657127
202 0.0 0.44084102
203 0.0 0.89222234
204 0.0 0.29129103
205 0.0 0.74375314
206 0.0 1.5193504
207 0.0 0.75426084
208 0.0 0.34262192
209 0.0 0.5117786
210 0.0 0.45123237
211 0.0 1.2261018
212 0.0 0.7550408
213 0.0 0.7901429
214 0.0 1.4310741
215 0.0 0.48642927
216 0.0 1.1908331
217 0.0 0.47170082
218 0.0 0.4892428
219 0.0 0.8648052
220 0.0 0.51055306
221 0.0 0.9469114
222 0.0 0.4618336
223 0.0 1.072153
224 0.0 0.84561306
225 0.0 1.6456325
226 0.0 1.087323
227 0.0 0.49446014
228 0.0 1.5415324
229 0.0 0.5884553
230 0.0 0.51906085
231 0.0 0.68712807
232 0.0 1.255912
233 0.0 0.5832241
234 0.0 0.92498994
235 0.0 0.4542434
236 0.0 0.43957645
237 0.0 1.2679763
238 0.0 0.48114792
239 0.0 0.8574893
240 0.0 0.75852597
241 0.0 0.22202556
242 0.0 0.74625903
243 0.0 1.8747536
244 0.0 0.6954961
245 0.0 1.0467452
246 0.0 0.8349323
247 0.0 0.57170576
248 0.0 0.9813353
249 0.0 1.2086937
250 0.0 1.060567
251 0.0 1.0447392
252 0.0 0.64342946
253 0.0 0.27161786
254 0.0 0.6979835
255 0.0 0.7453151
256 1.0 0.21468416
257 1.0 0.656962
258 1.0 0.45006165
259 1.0 0.3804597
260 1.0 0.18741284
261 1.0 0.33213544
262 1.0 0.6081415
263 1.0 0.28644252
264 1.0 0.2986192
265 1.0 0.85460865
266 1.0 0.24930455
267 1.0 0.5099447
268 1.0 0.15543862
269 1.0 0.55230457
270 1.0 0.9324962
271 1.0 0.53020453
272 1.0 0.42376244
273 1.0 0.7317695
274 1.0 0.42729634
275 1.0 0.6700076
276 1.0 0.5232241
277 1.0 0.5429732
278 1.0 0.67508906
279 1.0 0.6845207
280 1.0 0.38764536
281 1.0 0.42639455
282 1.0 0.231009
283 1.0 0.29545277
284 1.0 0.26663476
285 1.0 0.31714296
286 1.0 1.0055994
287 1.0 0.24470009
288 1.0 0.34144682
289 1.0 0.70511544
290 1.0 0.47399575
291 1.0 0.4304185
292 1.0 0.6047159
293 1.0 0.46206105
294 1.0 0.94878775
295 1.0 0.75917655
296 1.0 0.3876485
297 1.0 0.45841667
298 1.0 0.75350404
299 1.0 0.35160166
300 1.0 0.17680557
301 1.0 0.24508364
302 1.0 0.60435283
303 1.0 0.8663403
304 1.0 0.25449902
305 1.0 0.30569968
306 1.0 0.10639448
307 1.0 0.2753113
308 1.0 0.6582467
309 1.0 0.5282787
310 1.0 0.37580442
311 1.0 0.24974504
312 1.0 0.2978893
313 1.0 0.37979084
314 1.0 0.54255724
315 1.0 0.43041515
316 1.0 0.18765523
317 1.0 0.21698576
318 1.0 0.26907462
319 1.0 1.1361998
320 0.0 0.334509
321 0.0 0.7529458
322 0.0 0.62881887
323 0.0 0.92589647
324 0.0 0.5977641
325 0.0 0.5431589
326 0.0 0.80952936
327 0.0 0.7898996
328 0.0 0.825765
329 0.0 1.0386664
330 0.0 0.34613758
331 0.0 0.7231245
332 0.0 0.4687801
333 0.0 1.2336961
334 0.0 0.70687133
335 0.0 0.3413352
336 0.0 0.4529423
337 0.0 0.8767143
338 0.0 0.56535023
339 0.0 0.58989257
340 0.0 0.34307745
341 0.0 0.8186772
342 0.0 1.007163
343 0.0 0.8933725
344 0.0 1.0862211
345 0.0 0.74990714
346 0.0 0.6113134
347 0.0 1.0919834
348 0.0 0.71742874
349 0.0 1.2807219
350 0.0 1.0345176
351 0.0 1.5110972
352 0.0 0.6323005
353 0.0 0.4148825
354 0.0 0.83358413
355 0.0 0.26689056
356 0.0 1.1945151
357 0.0 0.6750785
358 0.0 1.240716
