==6742== NVPROF is profiling process 6742, command: python train.py --num-epochs=1 --train-root-dir /data/cxlan/DC_AIBench_Component/dataset/Face_embedding/vggface2_train_182 --valid-root-dir /data/cxlan/DC_AIBench_Component/dataset/Face_embedding/lfw_mtcnnpy_182 --train-csv-name datasets/train_small.csv -
==6742== Profiling application: python train.py --num-epochs=1 --train-root-dir /data/cxlan/DC_AIBench_Component/dataset/Face_embedding/vggface2_train_182 --valid-root-dir /data/cxlan/DC_AIBench_Component/dataset/Face_embedding/lfw_mtcnnpy_182 --train-csv-name datasets/train_small.csv -
==6742== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",12.861560,11.582404,4086,2.834655,0.000672,20.046517,"[CUDA memcpy HtoD]"
"GPU activities",10.894878,9.811320,43386,0.226140,0.059808,0.452702,"volta_sgemm_128x64_nn"
"GPU activities",8.924485,8.036893,59580,0.134892,0.100831,0.908541,"volta_gcgemm_32x32_nt"
"GPU activities",6.331097,5.701434,58032,0.098246,0.038464,0.157376,"void fft2d_c2r_32x32<float, bool=0, bool=0, unsigned int=0, bool=0, bool=0>(float*, float2 const *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, float*, float*, int2, int, int)"
"GPU activities",6.146054,5.534794,57708,0.095910,0.040384,0.163935,"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
"GPU activities",6.047727,5.446246,77715,0.070079,0.002144,0.689757,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE0_EEviT1_"
"GPU activities",5.361014,4.827830,22170,0.217764,0.032800,0.433406,"volta_sgemm_128x64_nt"
"GPU activities",5.034153,4.533478,54237,0.083586,0.010336,0.152448,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)"
"GPU activities",4.303788,3.875752,54237,0.071459,0.011744,0.125568,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)"
"GPU activities",3.881797,3.495730,109790,0.031840,0.000896,0.188448,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZZZNS0_15add_kernel_cudaERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE2_clEvEUlffE_EEvS4_RKT_EUliE0_EEviT1_"
"GPU activities",3.668308,3.303474,2808,1.176450,1.109403,1.579993,"volta_scudnn_128x64_stridedB_splitK_medium_nn_v1"
