==6351== NVPROF is profiling process 6351, command: python train.py --num-epochs=1 --train-root-dir /data/cxlan/DC_AIBench_Component/dataset/Face_embedding/vggface2_train_182 --valid-root-dir /data/cxlan/DC_AIBench_Component/dataset/Face_embedding/lfw_mtcnnpy_182 --train-csv-name datasets/train_small.csv -
==6351== Profiling application: python train.py --num-epochs=1 --train-root-dir /data/cxlan/DC_AIBench_Component/dataset/Face_embedding/vggface2_train_182 --valid-root-dir /data/cxlan/DC_AIBench_Component/dataset/Face_embedding/lfw_mtcnnpy_182 --train-csv-name datasets/train_small.csv -
==6351== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",11.551315,10.243300,4086,2.506926,0.000672,20.560899,"[CUDA memcpy HtoD]"
"GPU activities",11.013482,9.766368,43386,0.225104,0.059776,0.430013,"volta_sgemm_128x64_nn"
"GPU activities",9.050812,8.025941,59643,0.134566,0.100639,0.897053,"volta_gcgemm_32x32_nt"
"GPU activities",6.434049,5.705488,58032,0.098316,0.042207,0.152864,"void fft2d_c2r_32x32<float, bool=0, bool=0, unsigned int=0, bool=0, bool=0>(float*, float2 const *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, float*, float*, int2, int, int)"
"GPU activities",6.267891,5.558145,57771,0.096209,0.045504,0.166751,"void fft2d_r2c_32x32<float, bool=0, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
"GPU activities",6.166735,5.468443,77715,0.070365,0.002464,0.670045,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE0_EEviT1_"
"GPU activities",5.408054,4.795672,22170,0.216313,0.032895,0.329087,"volta_sgemm_128x64_nt"
"GPU activities",5.104474,4.526467,54237,0.083457,0.010368,0.150591,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)"
"GPU activities",4.394233,3.896651,54237,0.071844,0.011936,0.122879,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)"
"GPU activities",3.950234,3.502928,109790,0.031905,0.000927,0.185888,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZZZNS0_15add_kernel_cudaERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE2_clEvEUlffE_EEvS4_RKT_EUliE0_EEviT1_"
"GPU activities",3.724558,3.302807,2808,1.176213,1.103803,1.243708,"volta_scudnn_128x64_stridedB_splitK_medium_nn_v1"
"GPU activities",3.187683,2.826725,22065,0.128109,0.016832,0.833821,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, int=512, bool=1, int=1>(cudnnTensorStruct, float const *, cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, int=512, bool=1, int=1>, cudnnTensorStruct*, float const *, float const , cudnnTensorStruct*, cudnnTensorStruct*, cudnnTensorStruct**, float const *, float const *, float const *, cudnnTensorStruct*, cudnnTensorStruct*)"
"GPU activities",3.024510,2.682029,13620,0.196918,0.033568,1.361753,"void cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>(float, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnnTensorStruct, float const *, float, float const , float, cudnnTensorStruct*, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>*, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>)"
"GPU activities",2.624317,2.327152,33912,0.068623,0.005280,0.500895,"void cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1>)"
"GPU activities",2.063078,1.829465,54237,0.033730,0.003232,0.110335,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<float, float>)"
"GPU activities",1.514213,1.342751,3495,0.384192,0.097920,0.534398,"volta_scudnn_128x64_relu_small_nn_v1"
"GPU activities",1.466300,1.300263,1884,0.690160,0.157599,0.980347,"volta_scudnn_128x64_relu_medium_nn_v1"
"GPU activities",1.425619,1.264189,12843,0.098434,0.047359,0.386686,"void fft2d_r2c_32x32<float, bool=0, unsigned int=1, bool=1>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
"GPU activities",1.193727,1.058555,468,2.261870,2.148181,2.340601,"void cudnn::detail::dgrad2d_alg1_1<float, int=0, int=4, int=6, int=3, int=2, int=4, bool=1, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad2d_alg1_1<float, int=0, int=4, int=6, int=3, int=2, int=4, bool=1, bool=1>*, kernel_grad_params, int, int, float, int, int)"
"GPU activities",1.045682,0.927274,10851,0.085455,0.011936,0.144863,"void cudnn::winograd_nonfused::winogradWgradDelta4x4<float, float>(cudnn::winograd_nonfused::WinogradDeltaParams<float, float>)"
"GPU activities",0.989925,0.877831,10851,0.080898,0.010848,0.134207,"void cudnn::winograd_nonfused::winogradWgradData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)"
"GPU activities",0.934303,0.828507,471,1.759037,0.445118,1.839578,"void cudnn::detail::wgrad_alg0_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, int=512>(int, int, int, float const *, int, cudnn::detail::wgrad_alg0_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1, int=512>*, float const , kernel_grad_params, int, float, int, int, int, int)"
