timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620288450432,118,Search,200,,Image Searchers 2-1,text,true,,38606,17576,2,200,http://localhost:8088/img,117,0,58
1620288450432,188,Search,200,,Text Searchers 1-1,text,true,,3965,295,198,200,http://localhost:8088/search,188,0,58
1620288450433,205,Search,200,,Text Searchers 1-2,text,true,,3965,272,198,200,http://localhost:8088/search,205,0,58
1620288450560,154,Search,200,,Text Searchers 1-3,text,true,,3965,273,198,200,http://localhost:8088/search,153,0,1
1620288450714,168,Search,200,,Text Searchers 1-4,text,true,,3965,264,198,200,http://localhost:8088/search,168,0,1
1620288450865,143,Search,200,,Text Searchers 1-5,text,true,,3965,265,198,200,http://localhost:8088/search,143,0,1
1620288451010,135,Search,200,,Text Searchers 1-6,text,true,,3965,258,198,200,http://localhost:8088/search,135,0,1
1620288451154,223,Search,200,,Text Searchers 1-7,text,true,,3965,279,198,200,http://localhost:8088/search,223,0,74
1620288451318,138,Search,200,,Text Searchers 1-8,text,true,,3965,286,198,200,http://localhost:8088/search,138,0,1
1620288451457,251,Search,200,,Text Searchers 1-9,text,true,,3965,294,198,200,http://localhost:8088/search,251,0,0
1620288451609,104,Search,200,,Text Searchers 1-10,text,true,,3965,264,198,200,http://localhost:8088/search,104,0,1
1620288451773,115,Search,200,,Text Searchers 1-11,text,true,,3965,259,198,200,http://localhost:8088/search,115,0,1
1620288451916,112,Search,200,,Text Searchers 1-12,text,true,,3965,263,198,200,http://localhost:8088/search,112,0,1
1620288452225,127,Search,200,,Text Searchers 1-14,text,true,,3965,291,198,200,http://localhost:8088/search,127,0,1
1620288452071,284,Search,200,,Text Searchers 1-13,text,true,,3965,294,198,200,http://localhost:8088/search,284,0,1
1620288452362,134,Search,200,,Text Searchers 1-15,text,true,,3965,281,198,200,http://localhost:8088/search,134,0,1
1620288452523,111,Search,200,,Text Searchers 1-16,text,true,,3965,264,198,200,http://localhost:8088/search,110,0,1
1620288452661,174,Search,200,,Text Searchers 1-17,text,true,,3965,262,198,200,http://localhost:8088/search,174,0,1
1620288452812,129,Search,200,,Text Searchers 1-18,text,true,,3965,259,198,200,http://localhost:8088/search,129,0,1
